sector,horizon,task,r2,dir_acc,base_rate,naive_baseline,edge,n_oof
NoDur,1,pooled_reg,-0.00012741843411046005,0.5013333333333333,0.496,0.504,-0.002666666666666706,375
Durbl,1,pooled_reg,0.004066937332685594,0.488,0.4613333333333333,0.5386666666666666,-0.05066666666666664,375
Manuf,1,pooled_reg,-0.00770016699999454,0.48533333333333334,0.56,0.56,-0.07466666666666671,375
Enrgy,1,pooled_reg,-0.0008662624654494078,0.5386666666666666,0.4693333333333333,0.5306666666666666,0.008000000000000007,375
Chems,1,pooled_reg,-0.006176322931855216,0.4746666666666667,0.4746666666666667,0.5253333333333333,-0.05066666666666664,375
BusEq,1,pooled_reg,-0.013675676817069382,0.5146666666666667,0.5466666666666666,0.5466666666666666,-0.03199999999999992,375
Telcm,1,pooled_reg,-0.0073885260450692325,0.504,0.44533333333333336,0.5546666666666666,-0.05066666666666664,375
Utils,1,pooled_reg,-0.0041537501479589345,0.504,0.4746666666666667,0.5253333333333333,-0.021333333333333315,375
Shops,1,pooled_reg,-0.004245903799261264,0.5093333333333333,0.5146666666666667,0.5146666666666667,-0.005333333333333412,375
Hlth,1,pooled_reg,-0.0017850528257208342,0.5173333333333333,0.4666666666666667,0.5333333333333333,-0.016000000000000014,375
Money,1,pooled_reg,-0.003111114416142202,0.48,0.5066666666666667,0.5066666666666667,-0.026666666666666727,375
Other,1,pooled_reg,-0.02505730709536924,0.49066666666666664,0.4533333333333333,0.5466666666666666,-0.055999999999999994,375
NoDur,3,pooled_reg,-0.02147750585924868,0.3893333333333333,0.424,0.5760000000000001,-0.18666666666666676,375
Durbl,3,pooled_reg,-0.0052063438703953135,0.472,0.45066666666666666,0.5493333333333333,-0.07733333333333337,375
Manuf,3,pooled_reg,-0.009186946438509702,0.4826666666666667,0.536,0.536,-0.053333333333333344,375
Enrgy,3,pooled_reg,-0.007315706763173946,0.41333333333333333,0.47733333333333333,0.5226666666666666,-0.10933333333333328,375
Chems,3,pooled_reg,-0.02006906655151086,0.44,0.44,0.56,-0.12000000000000005,375
BusEq,3,pooled_reg,-0.014281868410057852,0.5973333333333334,0.6106666666666667,0.6106666666666667,-0.013333333333333308,375
Telcm,3,pooled_reg,-0.03775860618424853,0.4613333333333333,0.4026666666666667,0.5973333333333333,-0.13599999999999995,375
Utils,3,pooled_reg,-0.010322560246950774,0.432,0.4533333333333333,0.5466666666666666,-0.11466666666666664,375
Shops,3,pooled_reg,-0.02378247013877388,0.456,0.488,0.512,-0.055999999999999994,375
Hlth,3,pooled_reg,-0.012080911617439849,0.4826666666666667,0.496,0.504,-0.021333333333333315,375
Money,3,pooled_reg,-0.007548131462141505,0.5226666666666666,0.5413333333333333,0.5413333333333333,-0.01866666666666672,375
Other,3,pooled_reg,-0.06728622880855806,0.44533333333333336,0.4186666666666667,0.5813333333333333,-0.1359999999999999,375
NoDur,6,pooled_reg,-0.06676919012260729,0.4,0.4613333333333333,0.5386666666666666,-0.1386666666666666,375
Durbl,6,pooled_reg,-0.005901819134880526,0.4826666666666667,0.45866666666666667,0.5413333333333333,-0.058666666666666645,375
Manuf,6,pooled_reg,-0.05420000590988705,0.488,0.576,0.576,-0.08799999999999997,375
Enrgy,6,pooled_reg,-0.01717524700841122,0.37333333333333335,0.4693333333333333,0.5306666666666666,-0.15733333333333327,375
Chems,6,pooled_reg,-0.05908606568973629,0.352,0.42933333333333334,0.5706666666666667,-0.21866666666666668,375
BusEq,6,pooled_reg,-0.05894433734370663,0.6106666666666667,0.648,0.648,-0.03733333333333333,375
Telcm,6,pooled_reg,-0.07189613360009783,0.4613333333333333,0.4,0.6,-0.13866666666666666,375
Utils,6,pooled_reg,-0.03580208489402881,0.448,0.456,0.544,-0.09600000000000003,375
Shops,6,pooled_reg,-0.05590619888986992,0.512,0.504,0.504,0.008000000000000007,375
Hlth,6,pooled_reg,-0.018364151961060893,0.48533333333333334,0.5093333333333333,0.5093333333333333,-0.023999999999999966,375
Money,6,pooled_reg,-0.029366606113838012,0.5466666666666666,0.5306666666666666,0.5306666666666666,0.016000000000000014,375
Other,6,pooled_reg,-0.11566727172351077,0.448,0.4026666666666667,0.5973333333333333,-0.14933333333333326,375
NoDur,12,pooled_reg,-0.05804352859565687,0.4756756756756757,0.44324324324324327,0.5567567567567567,-0.08108108108108103,370
Durbl,12,pooled_reg,-0.005126313101209368,0.3783783783783784,0.45135135135135135,0.5486486486486486,-0.1702702702702702,370
Manuf,12,pooled_reg,-0.1166339123818021,0.4135135135135135,0.5594594594594594,0.5594594594594594,-0.1459459459459459,370
Enrgy,12,pooled_reg,-0.020057987714500847,0.3945945945945946,0.4540540540540541,0.5459459459459459,-0.1513513513513513,370
Chems,12,pooled_reg,-0.09788202606290586,0.3837837837837838,0.41081081081081083,0.5891891891891892,-0.20540540540540536,370
BusEq,12,pooled_reg,-0.08360261825490234,0.6567567567567567,0.7189189189189189,0.7189189189189189,-0.06216216216216219,370
Telcm,12,pooled_reg,-0.06646677448097704,0.4945945945945946,0.3891891891891892,0.6108108108108108,-0.1162162162162162,370
Utils,12,pooled_reg,-0.05942754285551288,0.4081081081081081,0.4,0.6,-0.19189189189189187,370
Shops,12,pooled_reg,-0.0803336499770706,0.5459459459459459,0.5324324324324324,0.5324324324324324,0.013513513513513487,370
Hlth,12,pooled_reg,-0.032161562671569,0.4540540540540541,0.46756756756756757,0.5324324324324324,-0.07837837837837835,370
Money,12,pooled_reg,0.018490420665639218,0.5567567567567567,0.5648648648648649,0.5648648648648649,-0.008108108108108136,370
Other,12,pooled_reg,-0.29290753849657336,0.32972972972972975,0.3567567567567568,0.6432432432432432,-0.3135135135135135,370
